"id","key","value"
366,healthcare:speciality,paediatrics
367,healthcare:speciality,palliative
368,healthcare:speciality,pathology
369,healthcare:speciality,physiatry
370,healthcare:speciality,plastic_surgery
371,healthcare:speciality,podiatry
372,healthcare:speciality,proctology
373,healthcare:speciality,psychiatry
374,healthcare:speciality,pulmonology
375,healthcare:speciality,radiology
376,healthcare:speciality,radiotherapy
377,healthcare:speciality,rheumatology
378,healthcare:speciality,stomatology
379,healthcare:speciality,surgery
380,healthcare:speciality,transplant
381,healthcare:speciality,trauma
382,healthcare:speciality,tropical
383,healthcare:speciality,urology
611,sport,speedway
384,healthcare:speciality,vascular_surgery
385,healthcare:speciality,venereology
386,shop,hairdresser
387,shop,hairdresser_supply
388,shop,hearing_aids
389,shop,herbalist
390,shop,massage
391,shop,medical_supply
392,shop,nutrition_supplements
393,shop,optician
394,shop,perfumery
395,shop,tattoo
396,shop,agrarian
397,shop,appliance
398,shop,bathroom_furnishing
399,shop,country_store
400,shop,doityourself
401,shop,electrical
402,shop,energy
403,shop,fireplace
404,shop,florist
405,shop,garden_centre
406,shop,garden_furniture
407,shop,gas
408,shop,glaziery
409,shop,groundskeeping
410,shop,hardware
411,shop,houseware
412,shop,locksmith
413,shop,paint
414,shop,pottery
415,shop,security
416,shop,tool_hire
417,shop,trade
418,shop,antiques
419,shop,bed
420,shop,candles
421,shop,carpet
422,shop,curtain
423,shop,doors
424,shop,flooring
425,shop,furniture
426,shop,household_linen
427,shop,interior_decoration
428,shop,kitchen
429,shop,lighting
430,shop,tiles
431,shop,window_blind
432,shop,computer
433,shop,electronics
434,shop,hifi
435,shop,mobile_phone
436,shop,printer_ink
437,shop,radiotechnics
438,shop,telecommunication
439,shop,vacuum_cleaner
440,shop,atv
441,shop,bicycle
442,shop,boat
443,shop,car
444,shop,car_parts
445,shop,car_repair
446,shop,caravan
447,shop,fishing
448,shop,fuel
449,shop,golf
450,shop,hunting
451,shop,military_surplus
452,shop,motorcycle
453,shop,motorcycle_repair
454,shop,outdoor
455,shop,scuba_diving
456,shop,ski
457,shop,snowmobile
458,shop,sports
459,shop,surf
460,shop,swimming_pool
461,shop,trailer
462,shop,truck
463,shop,tyres
464,shop,art
465,shop,camera
466,shop,collector
467,shop,craft
468,shop,frame
469,shop,games
470,shop,model
471,shop,music
472,shop,musical_instrument
473,shop,photo
474,shop,trophy
475,shop,video
476,shop,video_games
477,shop,anime
478,shop,books
479,shop,gift
480,shop,lottery
481,shop,newsagent
482,shop,stationery
612,sport,squash
483,shop,ticket
484,shop,bookmaker
485,shop,cannabis
486,shop,copyshop
487,shop,dry_cleaning
488,shop,e-cigarette
489,shop,funeral_directors
490,shop,laundry
491,shop,money_lender
492,shop,outpost
493,shop,party
494,shop,pawnbroker
495,shop,pest_control
496,shop,pet
497,shop,pet_grooming
498,shop,pyrotechnics
499,shop,religion
500,shop,rental
501,shop,storage_rental
502,shop,tobacco
503,shop,toys
504,shop,travel_agency
505,shop,weapons
506,sport,"9pin"
507,sport,"10pin"
508,sport,aerobics
509,sport,american_football
510,sport,aikido
511,sport,archery
512,sport,athletics
513,sport,australian_football
514,sport,badminton
515,sport,bandy
516,sport,baseball
517,sport,basketball
518,sport,beachvolleyball
519,sport,biathlon
520,sport,billiards
521,sport,bmx
522,sport,bobsleigh
523,sport,boules
524,sport,bowls
525,sport,boxing
526,sport,bullfighting
527,sport,canadian_football
528,sport,canoe
529,sport,chess
530,sport,cliff_diving
531,sport,climbing
532,sport,climbing_adventure
533,sport,cockfighting
534,sport,cricket
535,sport,crossfit
536,sport,croquet
537,sport,curling
538,sport,cycle_polo
539,sport,cycling
540,sport,darts
541,sport,dog_agility
542,sport,dog_racing
543,sport,dragon_boat
544,sport,equestrian
545,sport,fencing
546,sport,field_hockey
547,sport,fitness
548,sport,five-a-side
549,sport,floorball
550,sport,four_square
551,sport,free_flying
552,sport,futsal
553,sport,gaelic_games
554,sport,gaga
555,sport,golf
556,sport,gymnastics
557,sport,handball
558,sport,hapkido
559,sport,hiking
560,sport,horseshoes
561,sport,horse_racing
562,sport,ice_hockey
563,sport,ice_stock
564,sport,ice_skating
565,sport,judo
566,sport,karate
567,sport,karting
568,sport,kickboxing
569,sport,kitesurfing
570,sport,korfball
571,sport,krachtbal
572,sport,lacrosse
573,sport,laser_tag
574,sport,martial_arts
575,sport,miniature_golf
576,sport,model_aerodrome
577,sport,motocross
578,sport,motor
579,sport,multi
580,sport,netball
581,sport,obstacle_course
582,sport,orienteering
583,sport,paddle_tennis
584,sport,padel
585,sport,paintball
586,sport,parachuting
587,sport,parkour
588,sport,pelota
590,sport,pickleball
591,sport,pilates
592,sport,dance
593,sport,pole_dance
594,sport,racquet
595,sport,rc_car
596,sport,roller_skating
597,sport,rowing
598,sport,rugby_league
599,sport,rugby_union
600,sport,running
601,sport,sailing
602,sport,scuba_diving
603,sport,shooting
604,sport,shot-put
605,sport,skateboard
606,sport,ski_jumping
607,sport,skiing
608,sport,snooker
609,sport,soccer
610,sport,softball
613,sport,sumo
614,sport,surfing
615,sport,swimming
616,sport,table_tennis
617,sport,table_soccer
618,sport,taekwondo
619,sport,tennis
620,sport,teqball
621,sport,toboggan
622,sport,trugo
623,sport,ultimate
624,sport,volleyball
625,sport,wakeboarding
626,sport,water_polo
627,sport,water_ski
628,sport,weightlifting
